State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
Alabama,3326375,1319551,23265,66129,1892,0.70217989,0.278550126,0.004911116,0.013959477,0.000399391
Alaska,469771,22551,115544,43678,9923,0.710195671,0.034092404,0.174678404,0.066032017,0.015001504
Arizona,5701810,343729,332273,241721,14168,0.859521706,0.05181557,0.050088631,0.036438332,0.002135761
Arkansas,2315020,467468,17216,46078,12829,0.809840863,0.16352977,0.006022505,0.016119017,0.004487844
California,23484958,2282144,321112,5865435,155871,0.731401715,0.07107375,0.010000523,0.182669657,0.004854355
Colorado,4822379,240538,57578,188461,7756,0.907022799,0.045241871,0.010829626,0.035446908,0.001458796
Connecticut,2660228,396745,9052,166393,1155,0.822689947,0.122695545,0.00279938,0.051457938,0.00035719
Delaware,659719,219418,4353,36592,428,0.716688575,0.238365689,0.0047289,0.039751877,0.00046496
Washington D.C.,300058,320704,1886,28722,190,0.460522438,0.492209467,0.002894591,0.044081896,0.000291608
Florida,16010079,3441062,59558,599799,16162,0.795466262,0.170970345,0.00295916,0.029801219,0.000803015
Georgia,6131699,3390968,42316,439416,6947,0.612474986,0.338712497,0.004226804,0.0438918,0.000693913
Hawaii,341211,26923,6129,547843,152601,0.317492116,0.025051479,0.00570295,0.509760335,0.14199312
Idaho,1596918,12708,22867,25969,2475,0.961456094,0.007651103,0.01376753,0.015635151,0.001490123
Illinois,9044059,1790212,32600,717992,4511,0.780375109,0.154470121,0.002812922,0.061952613,0.000389236
Indiana,5571899,643105,18416,170566,3254,0.869625455,0.100371611,0.002874249,0.026620823,0.000507863
Iowa,2835536,129335,11837,76134,2029,0.928201551,0.042337303,0.003874795,0.024922165,0.000664185
Kansas,2436902,167237,23860,87018,2453,0.896753966,0.061541434,0.008780226,0.032021697,0.000902678
Kentucky,3873691,363167,8326,73087,4212,0.89617264,0.084018144,0.001926208,0.016908569,0.00097444
Louisiana,2874784,1504017,28561,81506,971,0.640286656,0.33498239,0.006361253,0.018153435,0.000216266
Maine,1263287,21983,9419,15323,222,0.964168996,0.016777919,0.007188792,0.011694858,0.000169435
Maryland,3296909,1830059,19164,386194,2453,0.5956713,0.330647168,0.003462469,0.069775866,0.000443197
Massachusetts,5305385,543629,17875,472895,2998,0.836444481,0.08570829,0.002818164,0.074556401,0.000472663
Michigan,7812165,1371069,57785,327230,2078,0.81629029,0.143262503,0.006037934,0.034192144,0.000217129
Minnesota,4627588,370291,57414,285630,2753,0.865993372,0.069295182,0.010744289,0.053451968,0.000515188
Mississippi,1726970,1130608,14634,31154,175,0.594780649,0.38938937,0.005040053,0.010729657,6.02712E-05
Missouri,5022939,703058,25516,127154,10214,0.852953048,0.119387367,0.004332911,0.021592218,0.001734455
Montana,940423,7787,67603,8927,224,0.917518079,0.00759734,0.065956463,0.008709574,0.000218544
Nebraska,1666763,94659,18964,47740,1850,0.910811399,0.051726908,0.010362977,0.026087774,0.001010942
Nevada,1989116,296184,42426,261159,22587,0.761683832,0.113416495,0.01624601,0.100004519,0.008649145
New Hampshire,1258576,22000,1727,35807,713,0.9543176,0.016681541,0.001309501,0.027150725,0.000540634
New Jersey,5964295,1203843,18440,856561,3254,0.741238341,0.149612752,0.00229171,0.106452792,0.000404405
New Mexico,1549953,48337,199341,36549,924,0.844613166,0.026340197,0.108626541,0.019916582,0.000503514
New York,12293680,3084304,73560,1680219,8277,0.717249201,0.179947305,0.004291705,0.098028884,0.000482904
North Carolina,7144510,2253481,126708,309905,6878,0.725958753,0.22897781,0.01287489,0.031489668,0.000698878
North Dakota,653910,22256,40970,10669,2792,0.895035156,0.030462759,0.056077427,0.014603126,0.003821532
Ohio,9452650,1467331,23544,274585,5274,0.842228155,0.130738733,0.002097763,0.024465438,0.000469912
Oklahoma,2865785,287414,316929,89950,4808,0.803892467,0.080623616,0.088902983,0.025232223,0.001348711
Oregon,3523853,77918,50417,194068,14182,0.912811707,0.02018372,0.013059917,0.05027098,0.003673676
Pennsylvania,10193792,1454753,27088,453662,4148,0.840140099,0.119896142,0.002232507,0.037389387,0.000341865
Rhode Island,833690,78143,3341,37101,250,0.87524212,0.082037742,0.003507519,0.038950159,0.00026246
South Carolina,3434467,1362917,18971,86571,7572,0.699413176,0.277551686,0.003863356,0.01762978,0.001542002
South Dakota,743764,20866,75809,11530,2073,0.870875203,0.024432054,0.088764955,0.013500507,0.002427281
Tennessee,5272910,1141304,20431,125742,3469,0.803325058,0.173877063,0.003112652,0.019156727,0.0005285
Texas,21273326,3553922,144993,1446073,27026,0.804426262,0.134387457,0.005482743,0.054681581,0.001021957
Utah,2799527,36918,35368,76470,30725,0.939751421,0.012392716,0.011872409,0.025669619,0.010313836
Vermont,585117,9435,2928,8603,386,0.964792924,0.015557267,0.004827947,0.014185391,0.000636471
Virginia,5714646,1659908,23388,565643,5039,0.717143386,0.208305474,0.002935011,0.070983773,0.000632355
Washington,5651091,305924,103882,684967,50139,0.831531563,0.045015283,0.01528575,0.100789685,0.007377719
West Virginia,1668004,65925,3601,14311,399,0.951926677,0.037623271,0.002055084,0.00816726,0.000227709
Wisconsin,4963354,374747,54577,167420,4220,0.891996827,0.067348236,0.00980839,0.030088144,0.000758404
Wyoming,525860,7116,13774,4633,754,0.952408551,0.012888106,0.024946707,0.008391033,0.001365603
